|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2020|Backroad Country|Lipari Foods|12/31/20|Spicy Cajun Mix|Undeclared milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lipari-foods-issues-allergy-alert-undeclared-milk-backroad-country-spicy-cajun-mix|
|2020|Divvies|Divvies, LLC|12/31/20|Vanilla Cupcakes|Undeclared milk and eggs|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/divvies-llc-issues-allergy-alert-undeclared-milk-and-eggs-vanilla-cupcakes|
|2020|Sportmix|Sportmix|12/30/20|Dog and Cat Food|Elevated levels of aflatoxin|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/midwestern-pet-foods-voluntarily-recalls-pet-food-recall-aflatoxin-health-risk|
|2020|Canyon Bakehouse|Flowers Foods, Inc.|12/30/20|Canyon Bakehouse Everything Bagels|Potential presence of gluten|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/amended-flowers-foods-issues-voluntary-recall-two-canyon-bakehouse-products-due-possible-presence|
|2020|Legendary Baking|Legendary Baking|12/28/20|French Silk Pie|May contain undeclared pecans|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/legendary-baking-issues-allergy-alert-potential-undeclared-pecan-product-labeled-french-silk-pie|
|2020|Paroex|Sunstar Americas, Inc.|12/28/20|Paroex Chlorhexidine Gluconate Oral Rinse, 4 oz and 16 oz|Potential contamination with Burkholderia lata|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sunstar-americas-inc-expands-voluntary-nationwide-recall-paroexr-chlorhexidine-gluconate-oral-rinse|
|2020|Veladis|B&I Overseas Trading, Inc|12/24/20|Herring in oil|Listeria Monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bi-overseas-trading-recalls-product-due-potential-contamination-listeria-monocytogenes|
|2020|IMC|Shane Erickson, Inc. DBA Innovative Marketing Consultants|12/23/20|Wash-Free Hand Sanitizer|Undeclared Methanol|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/shane-erickson-inc-dba-innovative-marketing-consultants-issues-voluntary-nationwide-recall-wash-free|
|2020|Food Club|B & G Foods, Inc|12/23/20|Garlic Powder|Undeclared Soy|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bg-foods-issues-voluntary-allergy-alert-undeclared-soy-limited-number-containers-food-club-garlic|
|2020|SE Grocers|Country Fresh, LLC|12/22/20|Party Tray Vegetables with Ranch Dip|Undeclared Egg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/country-fresh-announces-voluntary-limited-recall-se-grocers-branded-party-tray-vegetables-and-ranch|
|2020|O&H Danish Bakery|O&H Danish Bakery, Inc.|12/18/20|Almond Kringle|May contain undeclared pecans|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/oh-danish-bakery-inc-issues-allergy-alert-potential-undeclared-pecans-almond-kringle|
|2020|Trader Joes|Tesoros Trading Company|12/16/20|Frozen Lightly Salted Edamame|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tesoros-trading-company-recalls-product-because-possible-health-risk|
|2020|AvKare|AvKare|12/9/20|Sildenafil 100 mg tablets and Trazodone 100mg tablets|Due to product mix-up|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/avkare-issues-voluntary-nationwide-recall-sildenafil-100mg-tablets-and-trazodone-100mg-tablets-due|
|2020|Torrent Pharmaceuticals Limited|Torrent Pharmaceuticals Limited|12/9/20|Anagrelide Capsule USP 1mg|Due to dissolution test failure|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/torrent-pharmaceuticals-limited-issues-voluntary-nationwide-recall-anagrelide-capsules-usp-due|
