|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2023|HH Fresh Trading|HH Fresh Trading Corp of California|11/02/2024|Enoki Mushrooms|Food &#x26; Beverages|Potential to be contaminated with Listeria monocytogenes.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hh-fresh-trading-corp-recalls-taiwan-enoki-200gx25pk-because-possible-health-risk|
|2023|Hannaford|R. Walters LLC dba Elevation Foods|10/31/2024|Seafood Salad|Food &#x26; Beverages, Allergens|Contains an undeclared soy allergen.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/elevation-foods-issues-recall-due-undeclared-soy-hannaford-seafood-salad|
|2023|Atwater&#x2019;s|One Roof, LLC.|10/28/2024|Tarts|Food &#x26; Beverages, Allergens|info&#x40;atwatersfood.com|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/atwaters-issues-allergy-alert-undeclared-tree-nuts-spider-web-tart|
|2023|dynacare|Dynarex Corporation|10/28/2024|Baby Powder|Food &#x26; Beverages|Potential Metal or Chemical Contaminant|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dynarex-corporation-expands-recall-include-additional-products-due-possible-health-risk|
|2023|Grand Central|Grand Central Bakery|10/26/2024|U-Bake Pie Crust, U-Bake Apple Pie, U-Bake Marionberry Pie, U-Bake Chicken Pot Pie|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen &#x2013; Egg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/grand-central-bakery-issues-allergy-alert-undeclared-egg-u-bake-pie-crust-u-bake-apple-pie-u-bake|
|2023|Gourmet Cafe|Fresh Express Incorporated|10/26/2024|Gourmet Caf&#xe9; Chicken Caesar Salad Bowl|Food &#x26; Beverages, Foodborne Illness|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fresh-express-voluntarily-recalling-limited-number-gourmet-cafe-chicken-caesar-salad-bowls|
|2023|Kirkland Signature|Acme Smoked Fish Corporation|10/26/2024|Kirkland Signature Smoked Salmon|Food &#x26; Beverages, Foodborne Illness, Fish|Potential Foodborne Illness &#x2013; Listeria monocytogens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/acme-smoked-fish-corporation-recalls-kirkland-signature-smoked-salmon-due-listeria-monocytogenes|
|2023|Sprouts|Sprouts Farmers Market|10/24/2024|Chicken Street Taco Meal Kit|Food &#x26; Beverages|Potential Foodborne Illness &#x2013; Listeria monocytogens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sprouts-farmers-market-has-voluntarily-recalled-select-lots-our-chicken-street-taco-kits-supplied|
|2023|Multiple brand names|TreeHouse Foods, Inc.|10/23/2024|Frozen toaster waffles, Belgian waffles and pancakes|Food &#x26; Beverages|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/treehouse-foods-announces-expansion-voluntary-recall-include-all-waffle-and-pancake-products-due|
|2023|Trail Bologna|Con Yeager Spice Company|10/21/2024|Meat Processing Kit|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen &#x2013; Wheat and Soy|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/con-yeager-spice-company-issues-allergy-alert-undeclared-soy-and-wheat-trail-bologna-meat-processing|
|2023|Multiple Store Brands|Albertsons Companies|10/19/2024|ReadyMeals and store-made deli items|Food &#x26; Beverages|Potential Foodborne Illness &#x2013; Listeria monocytogens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/albertsons-companies-voluntarily-recalls-12-readymeals-and-store-made-deli-items-containing-recalled|
